order_id,order_date,customer_id,product_id,region_id,quantity,unit_price,discount_amount
500001,06/06/2025,1891,1105,4,2,109.56,0
500002,11/08/2025,1088,1048,2,1,49.44,2.47
500003,10/04/2025,1312,1066,5,2,40.07,5.61
500003,10/04/2025,1312,1019,5,1,151.68,22.75
500004,13/06/2024,1438,1056,6,1,24.25,0.73
500004,13/06/2024,1438,1039,6,1,106.8,1.07
500005,28/10/2025,659,1098,6,2,129.69,15.56
500005,28/10/2025,659,1053,6,2,94.46,5.67
500006,27/11/2024,1277,1083,2,1,66.75,5.34
500007,03/04/2025,261,1128,6,1,22.97,1.38
500007,03/04/2025,261,1025,6,1,89.47,5.37
500007,03/04/2025,261,1068,6,1,88.17,2.65
500008,08/01/2025,1185,1127,5,2,8.34,2.5
500009,17/10/2024,112,1089,6,1,60.92,0.61
500010,19/09/2025,918,1096,6,2,20.31,0.41
500010,19/09/2025,918,1130,6,1,11.76,0.71
500010,19/09/2025,918,1112,6,3,103.79,49.82
500011,14/07/2024,1313,1040,3,1,65.14,6.51
500011,14/07/2024,1313,1062,3,1,16.51,2.81
500011,14/07/2024,1313,1064,3,2,34.85,1.39
500011,14/07/2024,1313,1018,3,1,106.15,0
500012,31/10/2024,1262,1097,2,1,27.31,0
500012,31/10/2024,1262,1128,2,2,20.61,2.06
500012,31/10/2024,1262,1064,2,2,35.25,1.41
500012,31/10/2024,1262,1040,2,1,71.15,0
500013,24/07/2025,1257,1111,2,2,119.28,0
500014,02/06/2025,186,1129,3,3,3.85,0
500014,02/06/2025,186,1092,3,2,7.14,1.43
500014,02/06/2025,186,1087,3,1,31.12,4.67
500015,26/04/2024,1471,1124,1,3,7.2,2.16
500015,26/04/2024,1471,1067,1,3,75.67,27.24
500015,26/04/2024,1471,1128,1,2,19.86,5.96
500015,26/04/2024,1471,1073,1,2,52.97,0
500016,19/01/2024,1050,1017,5,1,155.09,0
500016,19/01/2024,1050,1068,5,1,68.74,4.81
500016,19/01/2024,1050,1019,5,1,139.55,13.96
500017,13/06/2024,1364,1016,2,1,66.31,0
500017,13/06/2024,1364,1038,2,1,79.16,0
500017,13/06/2024,1364,1061,2,2,14.12,6.21
500017,13/06/2024,1364,1004,2,1,49.55,2.48
500018,11/09/2025,1720,1128,2,1,19.84,0.99
500019,30/11/2025,164,1106,6,1,86.26,3.45
500020,30/03/2024,1170,1028,2,1,21.19,0
500020,30/03/2024,1170,1073,2,1,53.87,5.39
500021,30/09/2024,1829,1054,6,1,67.36,2.02
500021,30/09/2024,1829,1010,6,1,100.56,1.01
500022,07/02/2025,939,1121,1,1,12.78,1.28
500022,07/02/2025,939,1092,1,1,6.99,0
500023,13/02/2025,1868,1082,1,1,33.34,1.67
500023,13/02/2025,1868,1080,1,2,13.08,1.31
500024,08/03/2024,705,1124,3,1,6.57,0
500024,08/03/2024,705,1036,3,1,54.22,2.71
