product_id,product_name,category,cost_per_unit
1001,Headphones V1,Electronics,35.19
1002,Headphones V2,Electronics,72.01
1003,Headphones V3,Electronics,30.48
1004,Bluetooth Speaker V1,Electronics,25.81
1005,Bluetooth Speaker V2,Electronics,74.61
1006,Bluetooth Speaker V3,Electronics,78.29
1007,Smartwatch V1,Electronics,17.71
1008,Smartwatch V2,Electronics,34.91
1009,Smartwatch V3,Electronics,24.89
1010,Tablet Cover V1,Electronics,52.42
1011,Tablet Cover V2,Electronics,85.08
1012,Tablet Cover V3,Electronics,16.35
1013,Phone Charger V1,Electronics,32.31
1014,Phone Charger V2,Electronics,68.58
1015,Phone Charger V3,Electronics,19.76
1016,Webcam V1,Electronics,28.95
1017,Webcam V2,Electronics,104
1018,Webcam V3,Electronics,55.29
1019,Keyboard V1,Electronics,65.33
1020,Keyboard V2,Electronics,50.28
1021,Keyboard V3,Electronics,95.22
1022,Mouse V1,Electronics,54.06
1023,Mouse V2,Electronics,86.82
1024,Mouse V3,Electronics,55.22
1025,Blender V1,Home & Kitchen,47.32
1026,Blender V2,Home & Kitchen,41.63
1027,Blender V3,Home & Kitchen,63.3
1028,Cookware Set V1,Home & Kitchen,12
1029,Cookware Set V2,Home & Kitchen,53.75
1030,Cookware Set V3,Home & Kitchen,38.24
1031,Air Fryer V1,Home & Kitchen,46.65
1032,Air Fryer V2,Home & Kitchen,45.13
1033,Air Fryer V3,Home & Kitchen,25.49
1034,Storage Box V1,Home & Kitchen,33.93
1035,Storage Box V2,Home & Kitchen,14.14
1036,Storage Box V3,Home & Kitchen,32.27
1037,Coffee Maker V1,Home & Kitchen,27.92
1038,Coffee Maker V2,Home & Kitchen,50.97
1039,Coffee Maker V3,Home & Kitchen,60.11
1040,Vacuum Flask V1,Home & Kitchen,44.7
1041,Vacuum Flask V2,Home & Kitchen,27.92
1042,Vacuum Flask V3,Home & Kitchen,23.5
1043,Knife Set V1,Home & Kitchen,31.74
1044,Knife Set V2,Home & Kitchen,37.81
1045,Knife Set V3,Home & Kitchen,27.87
1046,Pan V1,Home & Kitchen,36.11
1047,Pan V2,Home & Kitchen,23.79
1048,Pan V3,Home & Kitchen,23.26
1049,T-Shirt V1,Fashion,20.93
1050,T-Shirt V2,Fashion,32.4
1051,T-Shirt V3,Fashion,25.34
1052,Jeans V1,Fashion,29.53
1053,Jeans V2,Fashion,36.84
1054,Jeans V3,Fashion,26.09
1055,Jacket V1,Fashion,10.7
